PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
BRUNEI,37039,34731,32329,34761,40192,42869,45249,40850,36464,29678,24172,20378,18366,12990,7122,3605,2252,1052,313,60,6
BULGARIA,301038,337105,373553,330700,323847,386638,489440,521746,571106,535678,482065,460198,456219,436012,398028,265549,175753,94682,24235,3172,135
BURKINA FASO,3350869,3057215,2672217,2357050,1878175,1609418,1382450,1157530,866007,593093,508049,416967,327466,252009,175194,124205,65897,32708,7677,1124,81
BURMA,4760881,4990500,4946821,4789859,4831675,4736446,4386918,4413155,3996304,3502107,3164523,2610544,2041753,1417579,926293,600527,318249,121825,29966,3896,250
BURUNDI,1929984,1717294,1553187,1286550,1058274,872225,742955,618791,501759,401062,325360,272252,222967,167759,96337,54142,30300,11720,2572,312,19
CABO VERDE,54054,54126,54842,54304,54721,54767,50804,43288,33428,27459,27988,24429,17107,10947,6241,5924,5383,2541,779,112,11
CAMBODIA,1747729,1716864,1643453,1504661,1420892,1629403,1596405,1385334,797323,823177,795001,664692,424575,323127,215809,131481,71401,27613,7067,929,48
CAMEROON,4448648,3855060,3444158,2995828,2563421,2221858,1879021,1512017,1192190,936502,759046,602146,471426,354180,246636,152297,76538,27287,5981,709,40
CANADA,1932416,2024762,2068783,1999964,2199113,2528120,2612321,2586870,2459936,2362461,2456583,2740883,2566449,2161388,1786512,1215414,836003,597474,346223,138081,74329
CAYMAN ISLANDS,3787,3658,3547,3578,3770,4117,3975,4137,4246,4527,4627,4854,4299,3381,2298,1463,924,486,199,58,13
CENTRAL AFRICAN REPUBLIC,875416,783633,706591,633493,558149,497259,437059,347819,272120,223386,196453,147550,111174,76485,54984,38417,20650,8103,1869,231,14
CHAD,3068725,2650242,2285951,1885424,1451488,1189509,1120671,821188,595092,478564,374647,304550,241561,177018,118951,68317,31828,10890,2418,304,19
CHILE,1196495,1208869,1194000,1180848,1336100,1441850,1409695,1310889,1160480,1194348,1225843,1199820,979251,732156,558911,406518,250025,129681,56250,12637,2104
CHINA,82832536,80530944,77715286,74503800,85502189,101347754,126191430,99479184,92484264,114227816,118770840,95420349,72964803,69956093,45440868,27920363,17538651,8401852,2391229,370526,25200
COLOMBIA,3758083,3799412,3863052,3940464,4097827,4146772,3902618,3445038,3078514,3028373,3034624,2685175,2188703,1614217,1090339,700366,418290,204407,71484,15301,1782
COMOROS,97490,104023,108942,98052,77578,64024,57759,53314,43975,41602,26988,21493,16525,13141,9987,6390,3371,1283,297,43,4
CONGO (BRAZZAVILLE),792757,739896,667563,489832,417353,382260,345400,321134,289771,244110,190380,140161,102856,70908,46183,28661,15979,6168,1479,204,15
CONGO (KINSHASA),18218457,15974604,13013293,10557592,9207935,7798366,6268160,5044705,4031659,3185869,2553606,1946541,1470155,1070488,734517,430874,194870,64297,12811,1390,74
COOK ISLANDS,556,557,596,637,640,599,441,389,440,641,719,695,518,384,308,217,139,68,23,5,2
COSTA RICA,378826,379384,367323,371841,402638,423899,435420,402263,350685,319856,310055,280989,228125,168336,118982,78522,46554,23490,8636,1909,255
COTE D'IVOIRE,3671905,3467353,3448932,2993329,2560057,2274896,2059373,1675951,1426113,1204642,945268,534935,435125,342566,232462,128374,58103,18059,3311,316,16
CROATIA,187771,200591,210302,204006,251091,245805,270428,304633,303908,282576,274181,290596,311355,294577,215231,130555,121860,82485,34997,9633,1165
