,0-19,20-44,45-59,60-79,80-100+,TOTAL_POPULATION,GINI_INDEX,TOTAL_CASES,TOTAL_CASES_100K,TOTAL_DEATHS,TOTAL_DEATHS_100K,TOTAL_CASES_1M,TOTAL_DEATHS_1M,HDI,COUNTRY_CODE,DIABETES_PREVALENCE,LAST_GPD_USD,PHYSICIANS_DENSITY_PER_1K_POP,OBESITY_PREVALENCE_RATE,URBAN_POPULATION_2021,RATE_URBANIATION_EST_20_25,REGION
REPUBLIC OF THE CONGO,2787.713,1808.056,545.921,223.316,15.498,5380.504,48.9,13398,242.8,179,3.24,2490101.29906046,33268.2588842978,0.574,COG,6,2049,0.17,9.6,68.3,3.19,Africa
ROMANIA,4008.217,6352.841,4028.105,4042.535,932.86,19364.558,36,1088053,5629.17,34359,177.76,56187856.1855117,1774323.99954598,0.816,ROU,6.9,11665,2.98,22.5,-0.15,54.3,Europe
RUSSIA,33357.757,51507.048,28978.333,26361.109,5668.013,145872.26,37.5,6642559,4551.74,172110,117.94,45536821.0515145,1179867.92005553,0.824,RUS,6.1,11787,3.75,23.1,0.11,74.9,Central Asia
RWANDA,6340.304,4501.9,1158.421,582.592,43.721,12626.938,43.7,80147,618.79,969,7.48,6347302.88530759,76740.6951709116,0.536,RWA,5.1,849,0.13,5.8,17.6,3.07,Africa
SAINT LUCIA,47.025,73.825,35.599,22.012,4.334,182.795,51.2,6366,3466.81,95,51.74,34825897.8637271,519707.869471266,0.745,LCA,11.6,13708,0.64,19.7,0.98,18.9,Central America
SAINT VINCENT AND THE GRENADINES,33.768,40.508,20.483,13.162,2.672,110.593,,2314,2085.81,12,10.82,20923566.5910139,108505.9633069,0.728,VCT,11.6,12431,0.66,23.7,53.5,0.94,Central America
SAMOA,93.446,62.505,25.78,13.926,1.436,197.093,38.7,1,0.5,0,0,5073.74691135657,0,0.715,WSM,9.2,3738,0.35,47.3,17.7,-0.03,Australia - Oceania
SAO TOME AND PRINCIPE,114.673,70.01,19.864,9.397,1.104,215.048,56.3,2489,1135.71,37,16.88,11574160.187493,172054.611063577,0.609,STP,2.4,1316,0.05,12.4,75.1,2.96,Africa
SAUDI ARABIA,10754.756,15832.292,5731.014,1783.197,167.27,34268.529,45.9,539129,1548.6,8419,24.18,15732481.5430508,245677.30934701,0.857,SAU,15.8,19390,2.61,35.4,84.5,1.69,Middle East
SENEGAL,8693.215,5450.939,1370.409,720.018,61.781,16296.362,40.3,70854,423.16,1614,9.64,4347841.56120243,99040.509777581,0.514,SEN,2.4,1500,0.07,8.8,3.59,48.6,Africa
SERBIA,1879.221,2959.772,1723.833,1857.564,351.838,8772.228,36.2,733332,10587.03,7174,103.57,83597006.3705594,817808.201063629,0.799,SRB,9,7197,3.11,21.5,0.04,56.7,Europe
SEYCHELLES,29.558,35.81,20.164,10.548,1.661,97.741,46.8,19224,19547.11,98,99.65,196683070.564042,1002649.8603452,0.801,SYC,12.3,12599,2.12,14,0.99,58,Africa
SIERRA LEONE,4035.295,2720.953,695.102,334.822,27.035,7813.207,35.7,6342,79.5,121,1.52,811702.544166563,15486.5985247799,0.438,SLE,2.4,468,0.03,8.7,43.4,3.02,Africa
SINGAPORE,998.716,2216.96,1435.754,1022.763,130.15,5804.343,45.9,66225,1131.99,44,0.75,11409560.0483982,7580.53064748241,0.935,SGP,5.5,56349,2.29,6.1,0.74,100,East Asia/Southeast Asia
SLOVAKIA,1111.158,1994.498,1104.984,1067.773,178.599,5457.012,25.2,393610,7211.78,12546,229.87,72129216.5016313,2299060.36490299,0.857,SVK,6.5,20008,3.42,20.5,0.17,53.8,Europe
SLOVENIA,405.048,658.606,448.876,453.597,112.527,2078.654,24.2,261484,12476.21,4764,227.31,125794865.331123,2291867.71824459,0.902,SVN,5.9,25759,3.09,20.2,0.54,55.4,Europe
SOLOMON ISLANDS,337.421,226.314,68.976,33.542,3.568,669.821,37.1,20,2.91,0,0,29858.7234499963,0,0.557,SLB,19,1632,0.19,22.5,3.57,25.1,Australia - Oceania
SOMALIA,8931.71,4611.339,1197.236,651.703,50.918,15442.906,,16399,103.18,892,5.61,1061911.53400791,57761.1493588059,0.361,SOM,5.1,888,0.02,8.3,46.7,4.2,Africa
SOUTH AFRICA,21822.22,23862.453,7951.633,4499.221,422.74,58558.267,63,2613569,4406.72,77440,130.57,44631938.9882218,1322443.50742142,0.705,ZAF,12.7,6748,0.91,28.3,1.72,67.8,Africa
SOUTH KOREA,9127.509,17985.051,12782.631,9580.36,1749.77,51225.321,35.4,,,,,,,0.906,,,28361,2.36,4.7,81.4,0.31,East Asia/Southeast Asia
SOUTH SUDAN,5787.124,3722.424,983.148,519.658,49.76,11062.114,46,11207,100.12,120,1.07,1013097.49655446,10847.8361369265,0.413,SSD,10.2,1420,,6.6,4.12,20.5,Africa
SPAIN,9022.756,14860.972,10829.59,9122.212,2901.252,46736.782,34.7,4719266,9970.43,82595,174.5,100975415.89406,1767237.63309164,0.893,ESP,6.9,29600,3.87,23.8,81.1,0.24,Europe
SRI LANKA,6753.296,7299.266,3873.789,3046.793,350.59,21323.734,39.8,362074,1690.89,6206,28.98,16979859.1559996,291037.207648529,0.78,LKA,10.7,3846,1,5.2,18.9,1.22,South Asia
SUDAN,21883.796,14412.183,4120.171,2183.18,213.907,42813.237,34.2,37556,85.65,2780,6.34,877205.337218487,64933.1887705664,0.507,SDN,22.1,1940,0.26,6.6,35.6,3.43,Africa
SURINAME,206.939,212.43,100.98,53.223,7.791,581.363,,26593,4533.17,683,116.43,45742505.1129845,1174825.36728344,0.724,SUR,12.5,7068,1.21,26.4,0.88,66.2,South America
SWAZILAND,561.627,428.147,92.657,58.637,7.065,1148.133,54.6,36514,3147.31,942,81.2,31802935.7226036,820462.437714098,0.608,SWZ,4.5,4690,0.33,16.5,24.4,2.42,Africa
